File,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,Label
GCF_002119355.1,1,0.7,0.82,0.65,0.69,0.66,0.71,0.69,IC1
GCF_002288625.1,0.9,0.64,0.75,0.62,0.64,0.61,0.67,0.63,IC1
GCF_900117765.1,0.71,0.99,0.81,0.69,0.71,0.68,0.73,0.67,IC2
GCF_001863055.1,0.62,0.83,0.7,0.59,0.62,0.59,0.63,0.59,IC2
GCF_002416365.1,0.79,0.7,0.99,0.67,0.69,0.66,0.72,0.68,IC3
GCF_001432825.1,0.61,0.62,0.9,0.59,0.6,0.58,0.63,0.6,IC3
GCF_000368245.1,0.74,0.73,0.78,1,0.71,0.68,0.74,0.7,IC4
GCF_001758085.1,0.68,0.7,0.77,0.86,0.69,0.66,0.71,0.67,IC4
GCF_002019025.1,0.7,0.71,0.77,0.67,0.97,0.67,0.7,0.69,IC5
GCF_001432965.1,0.65,0.67,0.73,0.63,0.9,0.64,0.69,0.63,IC5
GCF_900161915.1,0.71,0.72,0.8,0.68,0.71,1,0.72,0.69,IC6
GCF_000581755.1,0.67,0.7,0.77,0.66,0.69,0.9,0.7,0.66,IC6
GCF_002573915.1,0.69,0.68,0.77,0.66,0.68,0.66,1,0.67,IC7
GCF_002573805.1,0.59,0.58,0.67,0.57,0.58,0.57,0.9,0.58,IC7
GCF_000811805.3,0.72,0.7,0.8,0.67,0.7,0.67,0.73,0.99,IC8
GCF_001693115.1,0.63,0.6,0.7,0.59,0.61,0.59,0.65,0.82,IC8
GCF_900096995.1,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,None
GCF_002928145.1,0.71,0.71,0.79,0.7,0.7,0.69,0.74,0.71,None
