GCF_001415325.1,0.21,0.21,0.21,0.21,0.27,0.21,0.21,0.21
GCF_002634345.1,0.21,0.27,0.21,0.21,0.22,0.22,0.21,0.21
GCF_001907145.1,0.29,0.22,0.23,0.22,0.22,0.23,0.22,0.22
GCF_000335655.1,0.2,0.26,0.2,0.2,0.21,0.21,0.2,0.2
GCF_002143375.1,0.24,0.22,0.24,0.22,0.23,0.23,0.22,0.23
GCF_001864435.1,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.22
GCF_002938805.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GCF_001444265.1,0.28,0.22,0.23,0.22,0.22,0.23,0.23,0.22
GCF_900117765.1,0.23,0.29,0.22,0.23,0.23,0.23,0.23,0.23
GCF_900161875.1,0.21,0.21,0.21,0.21,0.21,0.28,0.21,0.21
GCF_001706445.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
GCF_001673905.1,0.23,0.29,0.23,0.23,0.23,0.23,0.23,0.23
GCF_000811565.3,0.22,0.28,0.22,0.22,0.23,0.23,0.23,0.22
GCF_000516315.1,0.22,0.22,0.22,0.22,0.28,0.22,0.22,0.22
GCF_900095025.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GCF_001863785.1,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
GCF_001896005.1,0.21,0.21,0.21,0.2,0.27,0.21,0.21,0.21
GCF_001414645.1,0.22,0.28,0.22,0.22,0.23,0.23,0.23,0.22
GCF_002017675.1,0.21,0.26,0.21,0.21,0.22,0.22,0.21,0.21
GCF_002138115.1,0.22,0.28,0.22,0.22,0.23,0.23,0.22,0.22
GCF_002184275.1,0.23,0.23,0.22,0.23,0.3,0.23,0.23,0.23
GCF_000591795.1,0.22,0.27,0.22,0.22,0.22,0.22,0.22,0.22
GCF_000588575.1,0.23,0.29,0.23,0.23,0.23,0.23,0.23,0.23
GCF_001674325.1,0.23,0.28,0.23,0.23,0.23,0.23,0.23,0.23
GCF_000708775.1,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.22
GCF_000775875.1,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21
GCF_000162035.1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
GCF_001276505.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GCF_002143345.1,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23
GCF_000682175.1,0.21,0.26,0.2,0.21,0.21,0.21,0.21,0.21
GCF_001863975.1,0.23,0.3,0.24,0.23,0.24,0.24,0.24,0.24
GCF_000581955.1,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24
GCF_900118005.1,0.24,0.31,0.24,0.25,0.25,0.25,0.25,0.24
GCF_000368885.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GCF_001432585.1,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23
GCF_001716935.1,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06
GCF_000627495.1,0.22,0.27,0.22,0.22,0.22,0.22,0.22,0.22
GCF_000584135.1,0.19,0.24,0.19,0.2,0.2,0.2,0.19,0.2
GCF_000836075.1,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24
GCF_000589655.1,0.22,0.27,0.22,0.22,0.22,0.22,0.22,0.22
GCF_000810465.3,0.23,0.29,0.23,0.23,0.23,0.23,0.23,0.23
GCF_002813045.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GCF_000278625.1,0.23,0.21,0.28,0.21,0.22,0.22,0.21,0.21
GCF_002017125.1,0.22,0.27,0.22,0.22,0.22,0.22,0.22,0.22
GCF_000805305.1,0.21,0.26,0.2,0.21,0.21,0.21,0.21,0.21
GCF_001432835.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
GCF_002014325.1,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
GCF_001704615.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GCF_002950915.1,0.24,0.31,0.24,0.24,0.25,0.25,0.24,0.24
GCF_002740775.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
GCF_900117975.1,0.24,0.31,0.24,0.25,0.25,0.25,0.25,0.25
GCF_001665285.1,0.24,0.29,0.24,0.24,0.24,0.24,0.24,0.24
GCF_001862825.1,0.22,0.28,0.22,0.22,0.23,0.23,0.22,0.22
GCF_900161945.1,0.21,0.21,0.21,0.21,0.21,0.28,0.21,0.21
GCF_000611345.1,0.21,0.27,0.21,0.21,0.22,0.22,0.21,0.21
GCF_000309015.1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
GCF_002145235.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
GCF_002249465.1,0.22,0.28,0.22,0.22,0.23,0.23,0.22,0.22
GCF_001669575.1,0.24,0.3,0.23,0.24,0.24,0.24,0.24,0.24
